name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Austin, TX",2019-03-25,81.7,66.1,72.9,80.4,66.1,72.9,57.9,63,0,0,0,,0,0,23.7,11.1,24.3,1018.8,61.6,9.4,150.3,13.2,7,,2019-03-25T07:28:49,2019-03-25T19:45:29,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,E4737,KEDC,72254013904,72254413958,D9418"
"Austin, TX",2019-03-26,78,54.8,65.7,78,54.8,65.7,47,52.5,0,0,0,,0,0,20.1,9.1,34,1024.5,9.1,9.8,251.7,21.7,9,,2019-03-26T07:27:36,2019-03-26T19:46:06,0.68,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,E4737,KEDC,72254013904,72254413958"
"Austin, TX",2019-03-27,78.6,50.9,64.6,78.6,50.9,64.6,50.4,62.8,0,0,0,,0,0,24.8,11.4,155.2,1023.6,14.4,9.7,226.8,19.5,8,,2019-03-27T07:26:23,2019-03-27T19:46:43,0.75,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,E4737,KEDC,72254013904,72254413958"
"Austin, TX",2019-03-28,79.5,54.8,66.1,79.5,54.8,66.1,53.8,66.5,0,0,0,,0,0,25,12.7,164.1,1020,44,9.9,184.7,16,8,,2019-03-28T07:25:10,2019-03-28T19:47:20,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,E4737,KEDC,72254013904,72254413958"
"Austin, TX",2019-03-29,79,62.3,68.8,79,62.3,68.8,58.4,70.7,0,0,0,,0,0,27.3,11.4,169.5,1014.2,65.4,9.8,108.1,9.2,4,,2019-03-29T07:23:57,2019-03-29T19:47:57,0.78,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,E4737,KEDC,72254013904,72254413958"
"Austin, TX",2019-03-30,70.3,52.2,62.7,70.3,52.2,62.7,50.7,66.4,0,0,0,,0,0,29.8,15.9,343.9,1015.7,70.1,9.9,93.8,8.2,3,,2019-03-30T07:22:44,2019-03-30T19:48:34,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,E4737,KEDC,72254013904,72254413958"
"Austin, TX",2019-03-31,58.3,44.7,50.2,58.3,39.3,47.5,28.8,44.4,0,0,0,,0,0,28.2,17,10.6,1026.2,13.9,9.9,156.8,13.5,6,,2019-03-31T07:21:31,2019-03-31T19:49:11,0.85,Clear,Clear conditions throughout the day.,clear-day,"KATT,KRYW,KAUS,72064800230,E4737,KEDC,72254013904,72254413958,72054200166"
"Austin, TX",2019-04-01,62.3,40.8,50.6,62.3,38.8,50.4,32.3,51.1,0,0,0,,0,0,15.7,5.9,38.5,1024.3,45.4,9.9,188.4,16.1,9,,2019-04-01T07:20:19,2019-04-01T19:49:48,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,E4737,KEDC,72254013904,72254413958"
"Austin, TX",2019-04-02,73.2,38.6,56.4,73.2,38.6,56.3,34.6,48.6,0,0,0,,0,0,21.3,10.8,163.6,1022.2,14.3,9.9,235.8,20.3,9,,2019-04-02T07:19:07,2019-04-02T19:50:25,0.91,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,E4737,KEDC,72254013904,72254413958"
"Austin, TX",2019-04-03,69.3,55.4,62.3,69.3,55.4,62.3,53.4,73.2,0.027,100,16.67,rain,0,0,24.8,11.5,148.3,1018.7,86.2,8.6,66.7,5.8,3,,2019-04-03T07:17:55,2019-04-03T19:51:02,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KATT,KAUS,72064800230,E4737,KEDC,72254013904,72254413958"
