datetime,name,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,preciptype,windgust,windspeed,cloudcover,visibility,uvindex,sunrise,sunset,conditions,description,icon,Close/Last,Volume,Open,High,Low,GasPrice
2014-09-15,"Austin, TX",86.4,69.4,76.8,90.6,69.4,78.4,68.0,75.6,0.0,,,6.6,57.6,9.0,,2014-09-15T07:15:23,2014-09-15T19:36:24,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,16.924,246507477,18.2913,18.2933,16.6087,3.92
2014-09-16,"Austin, TX",93.4,74.5,81.3,99.6,74.5,83.9,71.9,75.4,0.018,rain,27.5,12.2,41.9,9.3,,2014-09-16T07:15:56,2014-09-16T19:35:09,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,17.3827,124461748,17.01,17.4973,16.828,3.85
2014-09-17,"Austin, TX",88.2,74.9,80.8,96.6,74.9,84.0,73.4,79.5,0.004,rain,17.4,11.8,85.1,9.4,,2014-09-17T07:16:29,2014-09-17T19:33:53,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,17.4253,77594871,17.494,17.6467,17.3,3.97
2014-09-18,"Austin, TX",88.7,71.6,77.6,95.2,71.6,79.2,72.5,86.0,3.253,rain,23.0,9.2,88.1,8.1,,2014-09-18T07:17:02,2014-09-18T19:32:37,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,17.588,55342127,17.5573,17.7067,17.488,3.99
2014-09-19,"Austin, TX",84.1,74.0,77.9,90.7,74.0,79.7,73.5,87.2,0.24,rain,,6.8,79.7,8.7,,2014-09-19T07:17:35,2014-09-19T19:31:22,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,17.288,102014574,17.1993,17.4287,17.018,3.99
2014-09-22,"Austin, TX",91.1,70.0,79.9,95.5,70.0,81.8,67.9,68.9,0.0,,17.2,8.5,23.6,9.9,,2014-09-22T07:19:15,2014-09-22T19:27:35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,16.6687,123137728,17.0,17.068,16.314,3.88
2014-09-23,"Austin, TX",83.9,66.3,74.9,83.2,66.3,74.8,58.7,58.8,0.0,,,6.6,13.1,9.9,,2014-09-23T07:19:48,2014-09-23T19:26:19,Clear,Clear conditions throughout the day.,clear-day,16.694,84848463,16.348,16.92,16.3333,3.9
2014-09-24,"Austin, TX",82.7,59.6,71.4,81.8,59.6,71.3,56.2,61.6,0.0,,,7.7,15.7,9.9,,2014-09-24T07:20:22,2014-09-24T19:25:04,Clear,Clear conditions throughout the day.,clear-day,16.8093,56175047,16.7413,16.856,16.4693,3.84
2014-09-25,"Austin, TX",82.3,62.1,72.6,84.4,62.1,73.0,61.7,69.6,0.0,,23.0,10.9,47.0,9.8,,2014-09-25T07:20:56,2014-09-25T19:23:48,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,16.4633,72492759,16.8347,16.9973,16.4067,3.89
2014-09-26,"Austin, TX",83.1,67.1,75.4,84.6,67.1,76.0,64.2,69.8,0.0,,,7.9,46.0,9.9,,2014-09-26T07:21:29,2014-09-26T19:22:33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,16.44,56923652,16.55,16.6487,16.4047,3.89
2014-09-29,"Austin, TX",87.8,66.1,76.9,88.5,66.1,77.4,63.8,66.5,0.0,,,5.7,15.0,9.9,,2014-09-29T07:23:12,2014-09-29T19:18:49,Clear,Clear conditions throughout the day.,clear-day,16.3507,72777984,16.2667,16.576,16.092,3.89
2014-09-30,"Austin, TX",88.8,64.3,77.2,91.6,64.3,78.5,65.4,69.1,0.0,,,7.7,15.5,9.9,,2014-09-30T07:23:47,2014-09-30T19:17:35,Clear,Clear conditions throughout the day.,clear-day,16.1787,63541408,16.4613,16.51,16.0083,4.14
2014-10-01,"Austin, TX",91.5,74.5,81.6,96.4,74.5,83.9,70.4,70.9,0.0,,17.2,9.2,53.5,9.9,,2014-10-01T07:24:22,2014-10-01T19:16:21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,16.016,89108445,16.1467,16.1773,15.71,4.14
2014-10-02,"Austin, TX",91.6,78.4,83.1,98.6,78.4,86.6,72.4,71.5,0.107,rain,26.3,14.8,69.0,9.0,,2014-10-02T07:24:57,2014-10-02T19:15:08,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,16.7613,134824433,16.68,16.8527,16.3573,4.0
2014-10-03,"Austin, TX",83.9,64.7,74.5,81.8,64.7,74.0,51.4,46.7,0.0,,26.4,14.3,6.3,9.9,,2014-10-03T07:25:33,2014-10-03T19:13:54,Clear,Clear conditions throughout the day.,clear-day,17.014,81053944,16.8707,17.1,16.7355,3.94
2014-10-06,"Austin, TX",87.7,72.8,77.5,91.5,72.8,78.6,68.6,75.2,0.0,,27.5,18.1,61.8,9.9,,2014-10-06T07:27:20,2014-10-06T19:10:18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,17.3747,115592837,17.2753,17.4993,17.1867,3.89
2014-10-07,"Austin, TX",92.6,71.4,80.5,95.8,71.4,82.1,68.5,70.2,0.0,,21.0,8.9,52.1,9.2,,2014-10-07T07:27:57,2014-10-07T19:09:06,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,17.3047,67178336,17.2353,17.4307,17.0487,3.88
2014-10-08,"Austin, TX",89.2,72.3,80.5,91.6,72.3,81.8,69.1,70.9,0.0,,23.1,11.0,55.1,9.8,,2014-10-08T07:28:34,2014-10-08T19:07:55,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,17.2853,75703057,17.34,17.5253,16.8427,3.88
2014-10-09,"Austin, TX",91.5,75.1,81.7,95.5,75.1,83.3,70.1,70.4,0.003,rain,26.4,10.8,64.2,9.9,,2014-10-09T07:29:11,2014-10-09T19:06:45,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,17.134,110086400,17.4833,17.7027,16.96,3.87
2014-10-10,"Austin, TX",91.1,74.6,81.3,95.8,74.6,82.9,69.6,70.2,0.0,,24.2,11.5,69.0,9.9,,2014-10-10T07:29:49,2014-10-10T19:05:35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,15.794,193288703,16.3093,16.3927,15.68,3.86
2014-10-13,"Austin, TX",75.5,60.3,71.4,75.5,60.3,71.4,57.6,64.6,0.066,rain,34.3,17.7,37.7,9.8,,2014-10-13T07:31:43,2014-10-13T19:02:10,"Rain, Partially cloudy",Clearing in the afternoon with morning rain.,rain,14.9727,168770916,15.9047,15.9309,14.7333,3.87
2014-10-14,"Austin, TX",79.7,53.4,65.1,79.7,53.4,65.1,43.4,49.1,0.0,,18.8,11.1,0.6,9.9,,2014-10-14T07:32:22,2014-10-14T19:01:03,Clear,Clear conditions throughout the day.,clear-day,15.1373,106492327,15.2167,15.498,14.8667,3.91
